RecId,Валюта,Дата,Накладная,Внутренняя накладная,Номенклатура,Описание,Количество,Единица измерения,Сумма,Сумма НДС,Поставщик,Наименование поставщика
5637218308.0,RUB,2020-12-11, б  / н,ВН-021257,000000094,Текущий ремонт зданий и сооружений ОП,0.0,шт,83.0,0.0,П0005302,ИП Халеса Владимир Анатольевич
5637218309.0,RUB,2020-12-31,366035000481,ВН-021258,000000117,Прочие услуги АУП (ИТР) 20%,0.0,шт,305.51,61.1,П0005145,"Общество с ограниченной ответственность ""ЛУКОЙЛ-Интер-Кард"""
5637218310.0,RUB,2020-12-31,12-56099/512,ВН-021259,000000117,Прочие услуги АУП (ИТР) 20%,0.0,шт,350.0,70.0,П0004085,"ООО ""РН-Карт"""
5637218311.0,RUB,2020-12-31,366035000480,ВН-021260,103023127,Дизельное топливо,660.0,л,25459.17,5091.83,П0005145,"Общество с ограниченной ответственность ""ЛУКОЙЛ-Интер-Кард"""
5637218312.0,RUB,2020-12-31,12-56091/512,ВН-021261,103023125,Бензин АИ-92,2437.0,л,89734.21,17946.84,П0004085,"ООО ""РН-Карт"""
5637218313.0,RUB,2020-12-31,12-56091/512,ВН-021261,103023126,Бензин АИ-95,65.0,л,2632.5,526.5,П0004085,"ООО ""РН-Карт"""
5637218314.0,RUB,2020-12-22,5650_1000004170/10,ВКН-000916,000000041, Центр гигиены и эпидемиологии,0.0,шт,-21752.08,-4350.41,П0004787,"УФК по Краснодарскому краю (Тихорецкий филиал ФБУЗ ""Центр гигиены и эпидемиологии в Краснодарском крае"") л/с 20186U63960"
5637218315.0,RUB,2020-12-22,1000004170/10.,ВН-021264,000000034,анализ  Воды,0.0,шт,21752.07,4350.42,П0004787,"УФК по Краснодарскому краю (Тихорецкий филиал ФБУЗ ""Центр гигиены и эпидемиологии в Краснодарском крае"") л/с 20186U63960"
5637218316.0,RUB,2020-12-31,355,ВН-021265,000000192,Перевозка жома гран.(в тоннах),0.0,т,181764.0,0.0,П0005273,ИП Василенко Евгений Алексеевич
5637218317.0,RUB,2020-12-31,364Е,ВН-021266,000000192,Перевозка жома гран.(в тоннах),0.0,т,211848.0,0.0,П0005256,ИП Василенко Денис Алексеевич
5637218318.0,RUB,2020-12-25,1001218192/2020125,ВН-021269,000000175,доп. услуги ж/д,0.0,шт,3537.6,707.52,П0002859,"ОАО ""РЖД"",  подсобный расчетный счет по месту нахождения Северо-Кавказского ТЦФТО-СП ЦФТО-филиала ОАО ""РЖД"""
5637218319.0,RUB,2020-12-31,1001218192/2020126,ВН-021270,000000175,доп. услуги ж/д,0.0,шт,1768.8,353.76,П0002859,"ОАО ""РЖД"",  подсобный расчетный счет по месту нахождения Северо-Кавказского ТЦФТО-СП ЦФТО-филиала ОАО ""РЖД"""
5637218320.0,RUB,2021-01-13,Н-0013102,ВН-021275,109014786,Резак для резки металла,5.0,шт,9623.33,1924.67,П0004715,"Общество с ограниченной ответственностью ""Компания Промметиз"""
5637218321.0,RUB,2021-01-06,Н-0013103,ВН-021276,000001971,Электроды ЦЛ-11,20.0,кг,13700.0,2740.0,П0001539,"Общество с ограниченной ответственностью ""Научно-производственное предприятие ""ПЛАЗМА"""
5637218322.0,RUB,2020-12-31,166141Г20,ВН-021277,10300002315,Газ природный,723.765,тысм3,4277458.39,855491.68,П0000344,"ООО ""Газпром межрегионгаз Краснодар"""
5637218323.0,RUB,2020-12-31,169801Н20,ВН-021278,10300202317,Газ природный для общежития,0.241,тысм3,1327.51,265.5,П0000344,"ООО ""Газпром межрегионгаз Краснодар"""
5637218324.0,RUB,2021-01-12,Н-0013106,ВН-021279,101123148,Поддон 1200х1000,550.0,шт,211750.0,42350.0,П0005169,"ООО ""Партнерство и результат"""
5637218325.0,RUB,2020-12-31,3101/6715/01,ВН-021283,90100000015,ЭЛЕКТРОЭНЕРГИЯ ПОКУПНАЯ (САХАР И ПРОЧИЕ) Сточные воды декабрь_2020г,5.0,кВтч,41.19,8.24,П0001396,"ПАО ""ТНС энерго Кубань"""
5637218326.0,RUB,2020-12-28,0000-000466,ВН-021289,000000184,ВСЭ кормов ветеринарные услуги,0.0,шт,26677.0,0.0,П0001342,"Минфин КК (ГБУ ""Ветуправление Тбилисского района"",л/с 833524560)"
5637218327.0,RUB,2020-12-31,49АФ0000090187/1220,ВН-021293,000000123,Услуги ИТ,0.0,шт,12444.52,2488.9,П0001501,"ПАО ""РОСТЕЛЕКОМ"""
