RecId;Валюта;Дата;Накладная;Внутренняя накладная;Номенклатура;Описание;Количество;Единица измерения;Сумма;Сумма НДС;Поставщик;Наименование поставщика
5637269627;RUB;31.12.2020;1549_Н-0031391;ВКН-001675;90100000015;ЭЛЕКТРОЭНЕРГИЯ ПОКУПНАЯ (ТЭЦ);-30343;кВтч;-162031,62;- 32 406,32;ПС-0034614;"ООО ""ТНС Энерго Пенза"""
5637269628;RUB;31.12.2020;4003/2415/01;ВН-030569;90100000015;ЭЛЕКТРОЭНЕРГИЯ ПОКУПНАЯ (ТЭЦ);30343;кВтч;164446,83; 32 889,37;ПС-0034614;"ООО ""ТНС Энерго Пенза"""
5637269629;RUB;31.12.2020;б/н;ВН-030570;000000010;Прочие услуги (ТС автомобильный парк);0;шт;204,29; 0,00;ПС-0035223;"ООО ""РТИТС"""
5637269630;RUB;28.12.2020;4188;ВН-030571;000000085;Прочие услуги (ОП);0;шт;13000; 0,00;ПС-0034137;ИП Винокурова Анна Владимировна
5637269631;RUB;11.01.2021;4;ВН-030572;000001426;Насос водяной;1;шт;12000; 2 400,00;ПС-0034220;"ООО ""Техно-Снаб"""
5637269632;RUB;30.12.2020;10;ВН-030573;000000197;организация питания;0;шт;47550; 0,00;ПС-0100913;ИП Бойко Татьяна Михайловна
5637269633;RUB;11.01.2021;109;ВН-030574;000000201;"Доставка гипса строительного
";0;шт;27807; 0,00;ПС-0100439;ИП Юдин Олег Петрович
5637269634;RUB;30.12.2020;УТ-1320;ВН-030575;101093062;Натр едкий марка РД (раствор);2,52;т;41580; 8 316,00;ПС-0100150;"ООО ""ДИАЛ"""
5637269635;RUB;30.12.2020;УТ-1320;ВН-030575;101093062;Натр едкий марка РД (раствор);19,46;т;321090; 64 218,00;ПС-0100150;"ООО ""ДИАЛ"""
5637269636;RUB;31.12.2020;5643_Н-0031390;ВКН-001676;10300002315;Газ природный - Декабрь 2020;-6483,259;тысм3;-35146665,5;- 7 029 333,10;ПС-0000246;"ООО ""Газпром межрегионгаз Пенза"""
5637269637;RUB;31.12.2020;5643_Н-0031390;ВКН-001676;000002141;Газ природный для жомосушки -Декабрь 2020;-2130,544;тысм3;-11549980,85;- 2 309 996,17;ПС-0000246;"ООО ""Газпром межрегионгаз Пенза"""
5637269638;УЕ2;25.12.2020;5198;ВН-030576;084098702;Коммутатор 24 (комп);2;шт;2925; 585,00;ПС-0035305;"ООО ""Прима АйТи"""
5637269639;RUB;31.12.2020;45574;ВН-030577;10300002315;Газ природный - Декабрь 2020;6483,259;тысм3;35146665,5; 7 029 333,10;ПС-0000246;"ООО ""Газпром межрегионгаз Пенза"""
5637269640;RUB;31.12.2020;45574;ВН-030577;000002141;Газ природный для жомосушки -Декабрь 2020;2130,544;тысм3;11549966,49; 2 309 993,30;ПС-0000246;"ООО ""Газпром межрегионгаз Пенза"""
